review,former_emp
The company could fit to pay better wages or more competitive to the market. Another important point is the lack of clarity in the evaluation process,1
None. There is no way to think of any good points. The most messy company I&#39;ve ever worked on. Unfortunately I only have negative points from this company.,1
Company does not comply with what was agreed in the interview. From the first day until the last I had problems with benefits and the like. Any problem that the official has will always be called that takes 3 days to be answered and until the solution can take months. &quot;,1
- Flexible working hours - Home office bureaucratized - Good remuneration if you negotiate well - Pleasant environment and close to the subway,0
"- Does not have a career plan - Wage disparity to perform the same function - Standard benefits - At certain times, it is very customer-oriented and honors employees",0
"Work environment, home office, benefits, salary, challenges, work team, events, growth, projects, training and development",0
"Bureaucracy, management, communication of the manager, lack of opportunities in Curitiba, lack of preparation of some professionals, processes, quality of life",0
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",0
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",0
"Company with young concept, many trainings and open to discussions, respects its customers, does everything to serve its customers in a simple way.",0
There is not .,0
"Pleasant environment, people help in the difficulties freedom of learning training constant good weather. Good relationship with managers",1
benefits could be better sosoes help in the difficulties freedom of learning training constant good weather. Good relationship with managers,1
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",0
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",0
"Work environment, home office, benefits, salary, challenges, work team, events, growth, projects, training and development",0
"Bureaucracy, management, communication of the manager, lack of opportunities in Curitiba, lack of preparation of some professionals, processes, quality of life",0
